,Items_base,Items_add,Support,Confidence,Lift
0,'Instant food products','hamburger meat',0.003050330452465684,0.379746835443038,11.42143769597027
7,'flour','sugar',0.00498220640569395,0.28654970760233917,8.46311223504206
10,'processed cheese','white bread',0.004168784951703101,0.25153374233128833,5.975445303932901
4,'liquor','bottled beer',0.004677173360447382,0.4220183486238532,5.240594013529793
9,'herbs','root vegetables',0.007015760040671073,0.43124999999999997,3.956477378731343
3,'berries','whipped/sour cream',0.009049313675648195,0.27217125382262997,3.796885505454703
11,'rice','root vegetables',0.00315200813421454,0.4133333333333334,3.792101990049752
6,'flour','margarine',0.0037620742247076767,0.21637426900584797,3.6945155133203382
1,'baking powder','whipped/sour cream',0.004575495678698526,0.25862068965517243,3.607850330154072
8,'flour','whipped/sour cream',0.004067107269954245,0.23391812865497078,3.263240844427855
